id,poi_text,input,location,chars
10,ranchi honda so room h,ranchi honda so room h,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,22
11,ranchi honda so room harmu,ranchi honda so room harmu,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,26
12,ranchi honda so room hrmu,ranchi honda so room hrmu,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,25
13,s n,s n,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
14,sachivalaya colony  en,sachivalaya colony  en,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,22
15,sachivalaya colony  janki,sachivalaya colony  janki,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,25
16,swastik medical opposite,swastik medical opposite,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,24
17,swati pg maruti mandir,swati pg maruti mandir,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,22
18,"#45 near manjunath fast Acharya Dr Sarvepalli Radhakrishnan Rd, Thammenahalli Village, Bengaluru, Karnataka 560090, India","#45 near manjunath fast Acharya Dr Sarvepalli Radhakrishnan Rd, Thammenahalli Village, Bengaluru, Karnataka 560090, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,121
19,#52 BYRA,#52 BYRA,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
20,#52 Byr,#52 Byr,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,7
21,#52 Byraveswar nagar,#52 Byraveswar nagar,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
22,"#9, bashyam nagar, 2nd street","#9, bashyam nagar, 2nd street",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,29
23,"#9, bashyam nagar, 2nd street, chromp","#9, bashyam nagar, 2nd street, chromp",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,37
24,", 20th D Cross Rd, B Block, CQAL Layout, Sahakar Nagar, Jalahalli East, Bengaluru, Karnataka 560092, India",", 20th D Cross Rd, B Block, CQAL Layout, Sahakar Nagar, Jalahalli East, Bengaluru, Karnataka 560092, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,106
25,", Sector 1, Thaltej, Ahmedabad, Gujarat 380058, India",", Sector 1, Thaltej, Ahmedabad, Gujarat 380058, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,53
26,",R75F+QX7, Badharghat, Agartala, Tripura 799003, India",",R75F+QX7, Badharghat, Agartala, Tripura 799003, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,54
27,00=00=00bm,00=00=00bm,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,10
28,03/58 valluvarsalai ramapuram 600089,03/58 valluvarsalai ramapuram 600089,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,36
29,1 rood,1 rood,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
30,1-32 Gachibowli,1-32 Gachibowli,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,15
31,100 asur,100 asur,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
32,100 ft road se,100 ft road se,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
33,100 ft road sector 1,100 ft road sector 1,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
34,101 Lahari estate,101 Lahari estate,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
35,101 Lahari estates moos,101 Lahari estates moos,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,23
36,"106, Paddy Field Road, Chinnaiyan Colony, Perambur, Chennai, Tamil Nadu 600039, India","106, Paddy Field Road, Chinnaiyan Colony, Perambur, Chennai, Tamil Nadu 600039, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,85
37,10A sri balaji,10A sri balaji,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
38,10th,10th,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,4
39,10th avenue,10th avenue,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,11
40,"10th avenue,gaur city 1","10th avenue,gaur city 1",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,23
41,11-15-265 Road,11-15-265 Road,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
42,11-15-265 Road N,11-15-265 Road N,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
43,11-15-265 Road No 2  Kranthi,11-15-265 Road No 2  Kranthi,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,28
44,11-15-265 Road No 2  Kranthi Nagar C,11-15-265 Road No 2  Kranthi Nagar C,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,36
45,11.varadarajan street.Thiru,11.varadarajan street.Thiru,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,27
46,113/97 Sea,113/97 Sea,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,10
47,113/97 Sector,113/97 Sector,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,13
48,1150 sector,1150 sector,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,11
49,1163/6 maruti villagw,1163/6 maruti villagw,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,21
50,11a Bl,11a Bl,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
51,11b corporation colony gnanaolivupuram,11b corporation colony gnanaolivupuram,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,38
52,11th,11th,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,4
53,11th Str,11th Str,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
54,11th cross ganapathi p,11th cross ganapathi p,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,22
55,12/3krishnamachari agar s,12/3krishnamachari agar s,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,25
56,12/3krishnamachari agar six,12/3krishnamachari agar six,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,27
57,12/3krishnamachari agar sixth street valasarawalks,12/3krishnamachari agar sixth street valasarawalks,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,50
58,"1201, sector 15-B, Chandigarh.","1201, sector 15-B, Chandigarh.",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,30
59,129 Pla,129 Pla,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,7
60,129 Plaza ce,129 Plaza ce,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,12
61,"129 Plaza centre, GN","129 Plaza centre, GN",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
62,"136, scheme no 54, Vijay Nagar, Bulandshahr, Madhya Pradesh 452001","136, scheme no 54, Vijay Nagar, Bulandshahr, Madhya Pradesh 452001",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,66
63,"1372, 28th St near Reliance Fresh Kambar Colony I Block Anna Nagar Chennai Tamil Nadu India","1372, 28th St near Reliance Fresh Kambar Colony I Block Anna Nagar Chennai Tamil Nadu India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,91
64,"14/1,murugesan street,kond","14/1,murugesan street,kond",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,26
65,15 secror,15 secror,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,9
66,152 Nit G,152 Nit G,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,9
67,152 Sata,152 Sata,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
68,152 Satnam,152 Satnam,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,10
69,152 St,152 St,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
70,152 Sta,152 Sta,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,7
71,15nit,15nit,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,5
72,"16, Sugunapuram East, Sri Krishna college of enKuniyamuthur, Tamil Nadu 641008, India","16, Sugunapuram East, Sri Krishna college of enKuniyamuthur, Tamil Nadu 641008, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,85
73,"16th cross road, srinivasnagar, he","16th cross road, srinivasnagar, he",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,34
74,17 th cross,17 th cross,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,11
75,17 th cross BR,17 th cross BR,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
76,17-237 sirlla hills,17-237 sirlla hills,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,19
77,17/1 E3 enclave sha,17/1 E3 enclave sha,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,19
78,"17/20, 1st B Main Rd, Vivekananda Nagar, Banashankari, Bengaluru, Karnataka 560085, India","17/20, 1st B Main Rd, Vivekananda Nagar, Banashankari, Bengaluru, Karnataka 560085, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,89
